ticket_id,account_id,account_name,product,ticket_text,priority,status,created_at
TKT-0001,ACC-001,Meridian Media Group,Canvas,Our design team is really struggling with the new Canvas interface. The toolbar layout changed and nobody can find the asset library anymore. We've lost at least two days of productivity this week. Can someone walk us through this?,P2,open,2026-02-25T19:31:00
TKT-0002,ACC-001,Meridian Media Group,Canvas,This is the third time this month Canvas has frozen mid-export. We had a client deadline today and had to recreate everything in SketchFlow. This is unacceptable for what we're paying.,P1,escalated,2026-02-10T18:46:00
TKT-0003,ACC-001,Meridian Media Group,Canvas,We need to export our entire asset library out of Canvas ASAP. Our creative director wants everything in a portable format. Can you provide a bulk export tool or API endpoint?,P2,escalated,2026-02-15T11:56:00
TKT-0004,ACC-001,Meridian Media Group,Flow,Our team lead Jennifer left last month and she was the only one who understood how our Flow automations were set up. Nobody knows how to modify the approval chains. Is there documentation for inheriting admin workflows?,P2,resolved,2026-02-26T13:19:00
TKT-0005,ACC-001,Meridian Media Group,Canvas,Canvas performance has degraded badly. Pages with more than 20 layers take 10+ seconds to render. We're a media company — we work with complex layouts daily. Several team members are asking if we can switch to SketchFlow.,P1,escalated,2025-12-23T06:54:00
TKT-0006,ACC-001,Meridian Media Group,Canvas,Is there a way to migrate our Canvas templates to another platform? Asking for planning purposes. We need to understand what our options are before our next internal review.,P3,open,2026-02-24T09:46:00
TKT-0007,ACC-001,Meridian Media Group,Flow,The Flow integration with our DAM system broke after your last update. Our creative workflow depends on this. We've been manually transferring files for two weeks and it's killing our velocity.,P2,open,2026-01-09T13:06:00
TKT-0008,ACC-001,Meridian Media Group,Canvas,"Honestly, I'm frustrated. We've filed three tickets this month and the responses have been slow and unhelpful. Our contract is up in June and leadership is already questioning whether to renew.",P2,escalated,2026-02-08T11:28:00
TKT-0009,ACC-001,Meridian Media Group,Canvas,We've been trying to reach our account executive Jake Torres for three weeks about renewal pricing. His emails are bouncing and he's not responding on Slack. Is he still with the company? We need to discuss pricing options before our budget review.,P2,open,2026-01-28T08:51:00
TKT-0010,ACC-001,Meridian Media Group,Canvas,URGENT: Our VP of Marketing David Leung has requested a full asset export from Canvas. He wants to evaluate migration costs to SketchFlow. We need the bulk export API documentation and estimated data transfer timelines. We are a $186K account and haven't had a working AE relationship in weeks.,P1,escalated,2026-03-14T10:36:00
TKT-0011,ACC-001,Meridian Media Group,Flow,We tested our approval workflow in both Canvas and SketchFlow last week. What takes 45 minutes in Canvas took 5 minutes in SketchFlow. The performance gap is becoming impossible to justify internally. Our SketchFlow pilot cost us $2K — our Canvas contract is $186K. The ROI math is not in your favor.,P2,resolved,2025-12-31T14:26:00
TKT-0012,ACC-001,Meridian Media Group,Canvas,Our design team is really struggling with the new Canvas interface. The toolbar layout changed and nobody can find the asset library anymore. We've lost at least two days of productivity this week. Can someone walk us through this?,P2,escalated,2026-02-18T16:41:00
TKT-0013,ACC-001,Meridian Media Group,Canvas,This is the third time this month Canvas has frozen mid-export. We had a client deadline today and had to recreate everything in SketchFlow. This is unacceptable for what we're paying.,P1,escalated,2026-02-19T19:54:00
TKT-0014,ACC-001,Meridian Media Group,Canvas,We need to export our entire asset library out of Canvas ASAP. Our creative director wants everything in a portable format. Can you provide a bulk export tool or API endpoint?,P2,escalated,2026-02-09T08:28:00
TKT-0015,ACC-001,Meridian Media Group,Flow,Our team lead Jennifer left last month and she was the only one who understood how our Flow automations were set up. Nobody knows how to modify the approval chains. Is there documentation for inheriting admin workflows?,P2,open,2026-01-17T16:37:00
TKT-0016,ACC-001,Meridian Media Group,Canvas,Canvas performance has degraded badly. Pages with more than 20 layers take 10+ seconds to render. We're a media company — we work with complex layouts daily. Several team members are asking if we can switch to SketchFlow.,P1,open,2026-03-01T19:07:00
TKT-0017,ACC-001,Meridian Media Group,Canvas,Is there a way to migrate our Canvas templates to another platform? Asking for planning purposes. We need to understand what our options are before our next internal review.,P3,escalated,2026-02-14T11:33:00
TKT-0018,ACC-001,Meridian Media Group,Flow,The Flow integration with our DAM system broke after your last update. Our creative workflow depends on this. We've been manually transferring files for two weeks and it's killing our velocity.,P2,open,2026-03-12T17:21:00
TKT-0019,ACC-001,Meridian Media Group,Canvas,"Honestly, I'm frustrated. We've filed three tickets this month and the responses have been slow and unhelpful. Our contract is up in June and leadership is already questioning whether to renew.",P2,escalated,2026-01-07T19:43:00
TKT-0020,ACC-001,Meridian Media Group,Canvas,We've been trying to reach our account executive Jake Torres for three weeks about renewal pricing. His emails are bouncing and he's not responding on Slack. Is he still with the company? We need to discuss pricing options before our budget review.,P2,open,2026-01-31T06:46:00
TKT-0021,ACC-001,Meridian Media Group,Canvas,URGENT: Our VP of Marketing David Leung has requested a full asset export from Canvas. He wants to evaluate migration costs to SketchFlow. We need the bulk export API documentation and estimated data transfer timelines. We are a $186K account and haven't had a working AE relationship in weeks.,P1,escalated,2026-03-12T10:08:00
TKT-0022,ACC-001,Meridian Media Group,Flow,We tested our approval workflow in both Canvas and SketchFlow last week. What takes 45 minutes in Canvas took 5 minutes in SketchFlow. The performance gap is becoming impossible to justify internally. Our SketchFlow pilot cost us $2K — our Canvas contract is $186K. The ROI math is not in your favor.,P2,resolved,2026-03-13T19:34:00
TKT-0023,ACC-001,Meridian Media Group,Canvas,Our design team is really struggling with the new Canvas interface. The toolbar layout changed and nobody can find the asset library anymore. We've lost at least two days of productivity this week. Can someone walk us through this?,P2,escalated,2026-02-21T20:49:00
TKT-0024,ACC-001,Meridian Media Group,Canvas,This is the third time this month Canvas has frozen mid-export. We had a client deadline today and had to recreate everything in SketchFlow. This is unacceptable for what we're paying.,P1,open,2026-01-29T18:03:00
TKT-0025,ACC-001,Meridian Media Group,Canvas,We need to export our entire asset library out of Canvas ASAP. Our creative director wants everything in a portable format. Can you provide a bulk export tool or API endpoint?,P2,resolved,2026-01-24T12:15:00
TKT-0026,ACC-001,Meridian Media Group,Flow,Our team lead Jennifer left last month and she was the only one who understood how our Flow automations were set up. Nobody knows how to modify the approval chains. Is there documentation for inheriting admin workflows?,P2,escalated,2026-03-06T10:40:00
TKT-0027,ACC-001,Meridian Media Group,Canvas,Canvas performance has degraded badly. Pages with more than 20 layers take 10+ seconds to render. We're a media company — we work with complex layouts daily. Several team members are asking if we can switch to SketchFlow.,P1,escalated,2026-02-05T14:24:00
TKT-0028,ACC-001,Meridian Media Group,Canvas,Is there a way to migrate our Canvas templates to another platform? Asking for planning purposes. We need to understand what our options are before our next internal review.,P3,resolved,2026-01-22T15:36:00
TKT-0029,ACC-001,Meridian Media Group,Flow,The Flow integration with our DAM system broke after your last update. Our creative workflow depends on this. We've been manually transferring files for two weeks and it's killing our velocity.,P2,open,2026-03-13T19:44:00
TKT-0030,ACC-001,Meridian Media Group,Canvas,"Honestly, I'm frustrated. We've filed three tickets this month and the responses have been slow and unhelpful. Our contract is up in June and leadership is already questioning whether to renew.",P2,open,2026-01-12T20:19:00
TKT-0031,ACC-001,Meridian Media Group,Canvas,We've been trying to reach our account executive Jake Torres for three weeks about renewal pricing. His emails are bouncing and he's not responding on Slack. Is he still with the company? We need to discuss pricing options before our budget review.,P2,open,2026-01-24T09:44:00
TKT-0032,ACC-001,Meridian Media Group,Canvas,URGENT: Our VP of Marketing David Leung has requested a full asset export from Canvas. He wants to evaluate migration costs to SketchFlow. We need the bulk export API documentation and estimated data transfer timelines. We are a $186K account and haven't had a working AE relationship in weeks.,P1,open,2026-02-10T13:54:00
TKT-0033,ACC-001,Meridian Media Group,Flow,We tested our approval workflow in both Canvas and SketchFlow last week. What takes 45 minutes in Canvas took 5 minutes in SketchFlow. The performance gap is becoming impossible to justify internally. Our SketchFlow pilot cost us $2K — our Canvas contract is $186K. The ROI math is not in your favor.,P2,open,2026-01-23T08:34:00
TKT-0034,ACC-001,Meridian Media Group,Canvas,Our design team is really struggling with the new Canvas interface. The toolbar layout changed and nobody can find the asset library anymore. We've lost at least two days of productivity this week. Can someone walk us through this?,P2,open,2026-02-17T14:42:00
TKT-0035,ACC-001,Meridian Media Group,Canvas,This is the third time this month Canvas has frozen mid-export. We had a client deadline today and had to recreate everything in SketchFlow. This is unacceptable for what we're paying.,P1,open,2026-02-03T12:14:00
TKT-0036,ACC-001,Meridian Media Group,Canvas,We need to export our entire asset library out of Canvas ASAP. Our creative director wants everything in a portable format. Can you provide a bulk export tool or API endpoint?,P2,resolved,2026-03-02T18:02:00
TKT-0037,ACC-001,Meridian Media Group,Flow,Our team lead Jennifer left last month and she was the only one who understood how our Flow automations were set up. Nobody knows how to modify the approval chains. Is there documentation for inheriting admin workflows?,P2,open,2026-02-05T12:32:00
TKT-0038,ACC-001,Meridian Media Group,Canvas,Canvas performance has degraded badly. Pages with more than 20 layers take 10+ seconds to render. We're a media company — we work with complex layouts daily. Several team members are asking if we can switch to SketchFlow.,P1,escalated,2026-03-02T13:00:00
TKT-0039,ACC-001,Meridian Media Group,Canvas,Is there a way to migrate our Canvas templates to another platform? Asking for planning purposes. We need to understand what our options are before our next internal review.,P3,open,2026-03-11T16:36:00
TKT-0040,ACC-001,Meridian Media Group,Flow,The Flow integration with our DAM system broke after your last update. Our creative workflow depends on this. We've been manually transferring files for two weeks and it's killing our velocity.,P2,open,2026-03-11T10:56:00
