feature_usage_id,account_id,account_name,user_id,feature_name,usage_count,usage_week
FU-000001,ACC-001,Meridian Media Group,ACC-001-U035,canvas_export,3,2025-12-15
FU-000002,ACC-001,Meridian Media Group,ACC-001-U002,canvas_export,1,2025-12-15
FU-000003,ACC-001,Meridian Media Group,ACC-001-U010,canvas_export,7,2025-12-15
FU-000004,ACC-001,Meridian Media Group,ACC-001-U030,canvas_export,2,2025-12-15
FU-000005,ACC-001,Meridian Media Group,ACC-001-U039,canvas_export,3,2025-12-15
FU-000006,ACC-001,Meridian Media Group,ACC-001-U032,canvas_export,4,2025-12-15
FU-000007,ACC-001,Meridian Media Group,ACC-001-U040,canvas_export,5,2025-12-22
FU-000008,ACC-001,Meridian Media Group,ACC-001-U028,canvas_export,1,2025-12-22
FU-000009,ACC-001,Meridian Media Group,ACC-001-U045,canvas_export,2,2025-12-22
FU-000010,ACC-001,Meridian Media Group,ACC-001-U038,canvas_export,5,2025-12-22
FU-000011,ACC-001,Meridian Media Group,ACC-001-U020,canvas_export,2,2025-12-22
FU-000012,ACC-001,Meridian Media Group,ACC-001-U026,canvas_export,1,2025-12-22
FU-000013,ACC-001,Meridian Media Group,ACC-001-U024,canvas_export,4,2025-12-22
FU-000014,ACC-001,Meridian Media Group,ACC-001-U010,canvas_export,5,2025-12-22
FU-000015,ACC-001,Meridian Media Group,ACC-001-U007,canvas_export,1,2025-12-22
FU-000016,ACC-001,Meridian Media Group,ACC-001-U031,canvas_export,1,2025-12-22
FU-000017,ACC-001,Meridian Media Group,ACC-001-U019,canvas_export,5,2025-12-22
FU-000018,ACC-001,Meridian Media Group,ACC-001-U043,canvas_export,2,2025-12-29
FU-000019,ACC-001,Meridian Media Group,ACC-001-U034,canvas_export,8,2026-01-05
FU-000020,ACC-001,Meridian Media Group,ACC-001-U018,canvas_export,3,2026-01-05
FU-000021,ACC-001,Meridian Media Group,ACC-001-U007,canvas_export,4,2026-01-05
FU-000022,ACC-001,Meridian Media Group,ACC-001-U020,canvas_export,1,2026-01-05
FU-000023,ACC-001,Meridian Media Group,ACC-001-U024,canvas_export,3,2026-01-05
FU-000024,ACC-001,Meridian Media Group,ACC-001-U030,canvas_export,2,2026-01-05
FU-000025,ACC-001,Meridian Media Group,ACC-001-U037,canvas_export,4,2026-01-05
FU-000026,ACC-001,Meridian Media Group,ACC-001-U023,canvas_export,1,2026-01-05
FU-000027,ACC-001,Meridian Media Group,ACC-001-U029,canvas_export,4,2026-01-12
FU-000028,ACC-001,Meridian Media Group,ACC-001-U037,canvas_export,3,2026-01-12
FU-000029,ACC-001,Meridian Media Group,ACC-001-U039,canvas_export,2,2026-01-12
FU-000030,ACC-001,Meridian Media Group,ACC-001-U031,canvas_export,2,2026-01-12
FU-000031,ACC-001,Meridian Media Group,ACC-001-U009,canvas_export,3,2026-01-12
FU-000032,ACC-001,Meridian Media Group,ACC-001-U034,canvas_export,2,2026-01-12
FU-000033,ACC-001,Meridian Media Group,ACC-001-U006,canvas_export,4,2026-01-12
FU-000034,ACC-001,Meridian Media Group,ACC-001-U023,canvas_export,5,2026-01-12
FU-000035,ACC-001,Meridian Media Group,ACC-001-U014,canvas_export,4,2026-01-19
