call_id,account_id,account_name,call_date,call_type,duration_min,transcript_excerpt,attendees
CALL-0001,ACC-001,Meridian Media Group,2026-02-27T16:30:00,check-in,35,"Sarah Chen: Thanks for taking the time today, Derek. I noticed Canvas usage across your team has dropped quite a bit over the past month. Is everything okay?

Derek Huang (Account Manager): Yeah, honestly, things have been tough since Jennifer left. She was our power user — she built all our templates, trained the team, the whole nine yards. Without her, people just kind of stopped using Canvas.

Sarah Chen: I'm sorry to hear that. Jennifer was great to work with. Have you been able to assign someone to pick up her workflows?

Derek Huang: Not really. We've been slammed with client work. A few people on the team started using SketchFlow because they already knew it from previous jobs. It's kind of taken on a life of its own.

Sarah Chen: I see. That's concerning — I'd love to help you get back on track. Would it help if we ran a re-onboarding session for your team? We have new templates specifically for media companies that might help reduce the learning curve.

Derek Huang: Maybe. I'll be honest though — my VP is already asking questions about the renewal. She's seen the SketchFlow usage and is wondering why we're paying for both. I need to show her clear value before June.","Derek Huang (Account Manager), Sarah Chen"
CALL-0002,ACC-001,Meridian Media Group,2026-02-18T14:30:00,QBR,49,"Sarah Chen: Let's look at your Q1 usage metrics. I want to be transparent — active users dropped from 38 to 14 over the past eight weeks.

Laura Singh (VP Creative): Fourteen? That's worse than I thought. Sarah Chen, I'm going to be direct. We're paying $186K annually and only a third of our team is using the product. That math doesn't work.

Sarah Chen: I completely understand, Laura. Let me share some context on what we've been seeing and a recovery plan I've put together.

Laura Singh: Before you do — I should tell you that our design leads have been demoing SketchFlow Enterprise. The team likes it. The collaborative features are strong and the pricing is more straightforward. I haven't made a decision yet, but I need DigitalNativeCo to give me a reason to stay.

Sarah Chen: I appreciate the honesty. Let me walk you through three things: first, the new Canvas collaboration features we shipped last month that directly address what SketchFlow offers; second, a custom onboarding track for your team; and third, a flexible pricing conversation with our account executive. I don't want to lose your business and I think there's a path here.

Laura Singh: Okay, show me what you've got. But I need to see real movement in the next 30 days. Our budget review is in April.","Laura Singh (VP Creative), Derek Huang (Account Manager), Sarah Chen"
CALL-0003,ACC-001,Meridian Media Group,2026-03-04T15:30:00,check-in,19,"Sarah Chen: Hi Derek, just checking in after our QBR last week. Have you had a chance to look at the Canvas collaboration features I demoed?

Derek Huang (Account Manager): I did, briefly. Look, I want to be straight with you — Laura is leaning toward SketchFlow. She asked me to get an export of all our assets from Canvas so we can evaluate the migration path.

Sarah Chen: I hear you. Before you start that process, can I get 30 minutes with Laura directly? I have a revised proposal from our leadership that includes dedicated onboarding support and a pricing adjustment. I think it could change the conversation.

Derek Huang: I can ask, but don't get your hopes up. She's pretty set. The SketchFlow demo went well and their sales team has been very responsive.","Derek Huang (Account Manager), Sarah Chen"
CALL-0004,ACC-001,Meridian Media Group,2026-01-19T16:00:00,check-in,26,"Sarah Chen: Derek, I wanted to check in on how things are going with the transition to your new account executive. Lisa Patel took over from Jake Torres — have you connected with her?

Derek Huang (Account Manager): Wait, Jake left? When did that happen? Nobody told us. We've been trying to reach him for three weeks about the renewal pricing discussion. Emails bouncing, no responses on Slack. We thought he was just ignoring us.

Sarah Chen: I'm so sorry about the communication gap. Jake left the company in mid-January and there was a delay in reassigning accounts. Lisa just came on board for your account last week. She's excellent and I'd love to get her on a call with you and Laura this week.

Derek Huang: Sarah Chen, this is exactly the kind of thing that makes leadership question the relationship. We're a $186K account — one of your bigger ones — and nobody thought to tell us our AE left? Laura is going to hear about this and it's going to reinforce her SketchFlow argument. SketchFlow's sales team responds to us within hours. We went three weeks without even knowing who our rep was.

Sarah Chen: You're absolutely right and I take full responsibility for the gap. Let me set up an introduction with Lisa this week, and I'll make sure she comes prepared with the pricing options Jake was working on. We have not dropped the ball on the renewal — I want to fight for this.

Derek Huang: I'll give Lisa a chance, but the clock is ticking. June is three months away and Laura is already getting SketchFlow contract terms. You're behind.","Derek Huang (Account Manager), Sarah Chen"
CALL-0005,ACC-001,Meridian Media Group,2025-12-19T10:15:00,check-in,34,"Lisa Patel (Account Executive): Hi Derek, Laura — thank you for making time. I'm Lisa, your new account executive. I know the transition from Jake wasn't smooth and I want to acknowledge that upfront.

Laura Singh (VP Creative): Lisa, I appreciate the directness. Let me be equally direct — we've been evaluating SketchFlow Enterprise for the past month. Their team license for our 45 seats would cost us about $40K annually. We're paying you $186K. That's a $146K gap I need to justify to my CEO.

Lisa Patel: I understand the math. Let me address that in two ways. First, the pricing — I have authorization to restructure your contract to better align with your actual usage. We can move to a flex-seat model that would bring your effective cost closer to $120K. Second, the value — Canvas offers enterprise features that SketchFlow doesn't match yet: SOC2 compliance, advanced role-based permissions, and the Flow integration for automated approvals.

Laura Singh: The SOC2 point is relevant — our legal team does care about that. But Lisa, I have to be honest. The fact that Jake left and we went three weeks without anyone reaching out... that tells me something about how important we are to DigitalNativeCo. We're supposed to be a strategic account.

Lisa Patel: You are a strategic account, and the gap in coverage was unacceptable. Here's what I'm proposing: a 60-day renewal plan with dedicated weekly check-ins from me, a re-onboarding for your team led by our solutions engineer Alex Kim, and the revised pricing I mentioned. If at the end of 60 days you don't see the value, I'll personally help you with the migration plan. I'd rather earn your trust than hold you hostage.

Laura Singh: That's a reasonable offer. Let me talk to David Leung, our VP of Marketing, and get back to you by Friday. Derek, can you set up time for Lisa to meet David?

Derek Huang (Account Manager): I'll send the calendar invite today.","Lisa Patel (Account Executive), Laura Singh (VP Creative), Derek Huang (Account Manager), Sarah Chen"
CALL-0006,ACC-001,Meridian Media Group,2025-12-19T14:30:00,check-in,31,"Sarah Chen: Thanks for taking the time today, Derek. I noticed Canvas usage across your team has dropped quite a bit over the past month. Is everything okay?

Derek Huang (Account Manager): Yeah, honestly, things have been tough since Jennifer left. She was our power user — she built all our templates, trained the team, the whole nine yards. Without her, people just kind of stopped using Canvas.

Sarah Chen: I'm sorry to hear that. Jennifer was great to work with. Have you been able to assign someone to pick up her workflows?

Derek Huang: Not really. We've been slammed with client work. A few people on the team started using SketchFlow because they already knew it from previous jobs. It's kind of taken on a life of its own.

Sarah Chen: I see. That's concerning — I'd love to help you get back on track. Would it help if we ran a re-onboarding session for your team? We have new templates specifically for media companies that might help reduce the learning curve.

Derek Huang: Maybe. I'll be honest though — my VP is already asking questions about the renewal. She's seen the SketchFlow usage and is wondering why we're paying for both. I need to show her clear value before June.","Derek Huang (Account Manager), Sarah Chen"
CALL-0007,ACC-001,Meridian Media Group,2026-03-01T11:00:00,QBR,51,"Sarah Chen: Let's look at your Q1 usage metrics. I want to be transparent — active users dropped from 38 to 14 over the past eight weeks.

Laura Singh (VP Creative): Fourteen? That's worse than I thought. Sarah Chen, I'm going to be direct. We're paying $186K annually and only a third of our team is using the product. That math doesn't work.

Sarah Chen: I completely understand, Laura. Let me share some context on what we've been seeing and a recovery plan I've put together.

Laura Singh: Before you do — I should tell you that our design leads have been demoing SketchFlow Enterprise. The team likes it. The collaborative features are strong and the pricing is more straightforward. I haven't made a decision yet, but I need DigitalNativeCo to give me a reason to stay.

Sarah Chen: I appreciate the honesty. Let me walk you through three things: first, the new Canvas collaboration features we shipped last month that directly address what SketchFlow offers; second, a custom onboarding track for your team; and third, a flexible pricing conversation with our account executive. I don't want to lose your business and I think there's a path here.

Laura Singh: Okay, show me what you've got. But I need to see real movement in the next 30 days. Our budget review is in April.","Laura Singh (VP Creative), Derek Huang (Account Manager), Sarah Chen"
CALL-0008,ACC-001,Meridian Media Group,2026-03-11T15:00:00,check-in,16,"Sarah Chen: Hi Derek, just checking in after our QBR last week. Have you had a chance to look at the Canvas collaboration features I demoed?

Derek Huang (Account Manager): I did, briefly. Look, I want to be straight with you — Laura is leaning toward SketchFlow. She asked me to get an export of all our assets from Canvas so we can evaluate the migration path.

Sarah Chen: I hear you. Before you start that process, can I get 30 minutes with Laura directly? I have a revised proposal from our leadership that includes dedicated onboarding support and a pricing adjustment. I think it could change the conversation.

Derek Huang: I can ask, but don't get your hopes up. She's pretty set. The SketchFlow demo went well and their sales team has been very responsive.","Derek Huang (Account Manager), Sarah Chen"
CALL-0009,ACC-001,Meridian Media Group,2026-02-25T14:30:00,check-in,29,"Sarah Chen: Derek, I wanted to check in on how things are going with the transition to your new account executive. Lisa Patel took over from Jake Torres — have you connected with her?

Derek Huang (Account Manager): Wait, Jake left? When did that happen? Nobody told us. We've been trying to reach him for three weeks about the renewal pricing discussion. Emails bouncing, no responses on Slack. We thought he was just ignoring us.

Sarah Chen: I'm so sorry about the communication gap. Jake left the company in mid-January and there was a delay in reassigning accounts. Lisa just came on board for your account last week. She's excellent and I'd love to get her on a call with you and Laura this week.

Derek Huang: Sarah Chen, this is exactly the kind of thing that makes leadership question the relationship. We're a $186K account — one of your bigger ones — and nobody thought to tell us our AE left? Laura is going to hear about this and it's going to reinforce her SketchFlow argument. SketchFlow's sales team responds to us within hours. We went three weeks without even knowing who our rep was.

Sarah Chen: You're absolutely right and I take full responsibility for the gap. Let me set up an introduction with Lisa this week, and I'll make sure she comes prepared with the pricing options Jake was working on. We have not dropped the ball on the renewal — I want to fight for this.

Derek Huang: I'll give Lisa a chance, but the clock is ticking. June is three months away and Laura is already getting SketchFlow contract terms. You're behind.","Derek Huang (Account Manager), Sarah Chen"
CALL-0010,ACC-001,Meridian Media Group,2025-12-17T10:00:00,check-in,32,"Lisa Patel (Account Executive): Hi Derek, Laura — thank you for making time. I'm Lisa, your new account executive. I know the transition from Jake wasn't smooth and I want to acknowledge that upfront.

Laura Singh (VP Creative): Lisa, I appreciate the directness. Let me be equally direct — we've been evaluating SketchFlow Enterprise for the past month. Their team license for our 45 seats would cost us about $40K annually. We're paying you $186K. That's a $146K gap I need to justify to my CEO.

Lisa Patel: I understand the math. Let me address that in two ways. First, the pricing — I have authorization to restructure your contract to better align with your actual usage. We can move to a flex-seat model that would bring your effective cost closer to $120K. Second, the value — Canvas offers enterprise features that SketchFlow doesn't match yet: SOC2 compliance, advanced role-based permissions, and the Flow integration for automated approvals.

Laura Singh: The SOC2 point is relevant — our legal team does care about that. But Lisa, I have to be honest. The fact that Jake left and we went three weeks without anyone reaching out... that tells me something about how important we are to DigitalNativeCo. We're supposed to be a strategic account.

Lisa Patel: You are a strategic account, and the gap in coverage was unacceptable. Here's what I'm proposing: a 60-day renewal plan with dedicated weekly check-ins from me, a re-onboarding for your team led by our solutions engineer Alex Kim, and the revised pricing I mentioned. If at the end of 60 days you don't see the value, I'll personally help you with the migration plan. I'd rather earn your trust than hold you hostage.

Laura Singh: That's a reasonable offer. Let me talk to David Leung, our VP of Marketing, and get back to you by Friday. Derek, can you set up time for Lisa to meet David?

Derek Huang (Account Manager): I'll send the calendar invite today.","Lisa Patel (Account Executive), Laura Singh (VP Creative), Derek Huang (Account Manager), Sarah Chen"
