event_id,account_id,account_name,user_id,product,event_type,event_date,session_duration_min
EVT-000001,ACC-001,Meridian Media Group,ACC-001-U038,Flow,login,2025-12-15T18:41:00,23.0
EVT-000002,ACC-001,Meridian Media Group,ACC-001-U020,Canvas,login,2025-12-15T14:16:00,11.9
EVT-000003,ACC-001,Meridian Media Group,ACC-001-U040,Flow,feature_use,2025-12-15T09:31:00,59.8
EVT-000004,ACC-001,Meridian Media Group,ACC-001-U030,Canvas,api_call,2025-12-15T10:43:00,0.4
EVT-000005,ACC-001,Meridian Media Group,ACC-001-U040,Canvas,feature_use,2025-12-15T13:16:00,37.0
EVT-000006,ACC-001,Meridian Media Group,ACC-001-U001,Canvas,api_call,2025-12-16T17:19:00,1.8
EVT-000007,ACC-001,Meridian Media Group,ACC-001-U042,Canvas,login,2025-12-16T09:46:00,26.0
EVT-000008,ACC-001,Meridian Media Group,ACC-001-U038,Canvas,invite_sent,2025-12-16T09:42:00,2.9
EVT-000009,ACC-001,Meridian Media Group,ACC-001-U026,Canvas,login,2025-12-16T12:13:00,39.4
EVT-000010,ACC-001,Meridian Media Group,ACC-001-U002,Canvas,export,2025-12-17T14:15:00,8.9
EVT-000011,ACC-001,Meridian Media Group,ACC-001-U039,Flow,login,2025-12-17T12:27:00,5.3
EVT-000012,ACC-001,Meridian Media Group,ACC-001-U033,Flow,api_call,2025-12-17T15:41:00,0.2
EVT-000013,ACC-001,Meridian Media Group,ACC-001-U034,Canvas,feature_use,2025-12-17T17:15:00,22.3
EVT-000014,ACC-001,Meridian Media Group,ACC-001-U022,Canvas,feature_use,2025-12-17T10:29:00,11.0
EVT-000015,ACC-001,Meridian Media Group,ACC-001-U018,Canvas,feature_use,2025-12-17T14:03:00,52.1
EVT-000016,ACC-001,Meridian Media Group,ACC-001-U045,Canvas,api_call,2025-12-17T10:31:00,1.7
EVT-000017,ACC-001,Meridian Media Group,ACC-001-U028,Canvas,feature_use,2025-12-18T10:07:00,41.5
EVT-000018,ACC-001,Meridian Media Group,ACC-001-U033,Canvas,feature_use,2025-12-18T14:33:00,26.9
EVT-000019,ACC-001,Meridian Media Group,ACC-001-U018,Flow,login,2025-12-18T10:25:00,32.5
EVT-000020,ACC-001,Meridian Media Group,ACC-001-U017,Flow,feature_use,2025-12-18T19:00:00,56.0
EVT-000021,ACC-001,Meridian Media Group,ACC-001-U006,Canvas,login,2025-12-18T11:59:00,10.4
EVT-000022,ACC-001,Meridian Media Group,ACC-001-U035,Flow,api_call,2025-12-19T11:08:00,0.2
EVT-000023,ACC-001,Meridian Media Group,ACC-001-U031,Canvas,export,2025-12-19T12:00:00,6.0
EVT-000024,ACC-001,Meridian Media Group,ACC-001-U034,Canvas,api_call,2025-12-19T09:02:00,1.4
EVT-000025,ACC-001,Meridian Media Group,ACC-001-U038,Canvas,feature_use,2025-12-19T12:59:00,5.4
EVT-000026,ACC-001,Meridian Media Group,ACC-001-U019,Flow,login,2025-12-19T09:49:00,12.0
EVT-000027,ACC-001,Meridian Media Group,ACC-001-U011,Flow,api_call,2025-12-20T17:17:00,1.7
EVT-000028,ACC-001,Meridian Media Group,ACC-001-U025,Canvas,feature_use,2025-12-21T08:49:00,18.9
EVT-000029,ACC-001,Meridian Media Group,ACC-001-U013,Flow,feature_use,2025-12-21T20:34:00,25.8
EVT-000030,ACC-001,Meridian Media Group,ACC-001-U003,Flow,feature_use,2025-12-22T11:44:00,41.0
EVT-000031,ACC-001,Meridian Media Group,ACC-001-U009,Canvas,login,2025-12-22T12:47:00,30.3
EVT-000032,ACC-001,Meridian Media Group,ACC-001-U021,Flow,feature_use,2025-12-22T11:13:00,50.5
EVT-000033,ACC-001,Meridian Media Group,ACC-001-U024,Flow,feature_use,2025-12-22T10:30:00,28.2
EVT-000034,ACC-001,Meridian Media Group,ACC-001-U023,Canvas,login,2025-12-22T15:05:00,30.2
EVT-000035,ACC-001,Meridian Media Group,ACC-001-U029,Flow,login,2025-12-22T07:15:00,9.8
EVT-000036,ACC-001,Meridian Media Group,ACC-001-U010,Canvas,feature_use,2025-12-22T14:45:00,53.5
EVT-000037,ACC-001,Meridian Media Group,ACC-001-U026,Flow,export,2025-12-23T15:17:00,5.7
EVT-000038,ACC-001,Meridian Media Group,ACC-001-U006,Canvas,export,2025-12-23T11:57:00,3.1
EVT-000039,ACC-001,Meridian Media Group,ACC-001-U028,Canvas,login,2025-12-23T09:13:00,17.9
EVT-000040,ACC-001,Meridian Media Group,ACC-001-U007,Flow,feature_use,2025-12-23T12:13:00,33.9
EVT-000041,ACC-001,Meridian Media Group,ACC-001-U032,Flow,api_call,2025-12-23T16:54:00,1.2
EVT-000042,ACC-001,Meridian Media Group,ACC-001-U035,Flow,login,2025-12-24T11:29:00,12.4
EVT-000043,ACC-001,Meridian Media Group,ACC-001-U026,Flow,export,2025-12-24T16:53:00,4.4
EVT-000044,ACC-001,Meridian Media Group,ACC-001-U034,Flow,api_call,2025-12-24T16:03:00,1.0
EVT-000045,ACC-001,Meridian Media Group,ACC-001-U006,Canvas,export,2025-12-24T15:48:00,8.0
EVT-000046,ACC-001,Meridian Media Group,ACC-001-U037,Canvas,feature_use,2025-12-25T12:32:00,27.4
EVT-000047,ACC-001,Meridian Media Group,ACC-001-U028,Canvas,api_call,2025-12-25T09:23:00,1.7
EVT-000048,ACC-001,Meridian Media Group,ACC-001-U036,Canvas,feature_use,2025-12-25T19:17:00,44.8
EVT-000049,ACC-001,Meridian Media Group,ACC-001-U012,Flow,feature_use,2025-12-25T11:54:00,44.7
EVT-000050,ACC-001,Meridian Media Group,ACC-001-U027,Canvas,login,2025-12-25T16:36:00,20.8
EVT-000051,ACC-001,Meridian Media Group,ACC-001-U013,Flow,login,2025-12-25T10:13:00,38.4
EVT-000052,ACC-001,Meridian Media Group,ACC-001-U011,Flow,feature_use,2025-12-26T11:44:00,45.5
EVT-000053,ACC-001,Meridian Media Group,ACC-001-U020,Flow,feature_use,2025-12-26T16:20:00,16.1
EVT-000054,ACC-001,Meridian Media Group,ACC-001-U001,Canvas,login,2025-12-26T11:37:00,33.5
EVT-000055,ACC-001,Meridian Media Group,ACC-001-U037,Canvas,api_call,2025-12-26T12:19:00,0.7
EVT-000056,ACC-001,Meridian Media Group,ACC-001-U023,Canvas,login,2025-12-26T14:44:00,43.9
EVT-000057,ACC-001,Meridian Media Group,ACC-001-U034,Flow,login,2025-12-26T11:30:00,1.5
EVT-000058,ACC-001,Meridian Media Group,ACC-001-U027,Flow,feature_use,2025-12-28T17:27:00,28.2
EVT-000059,ACC-001,Meridian Media Group,ACC-001-U012,Flow,api_call,2025-12-29T10:19:00,0.2
EVT-000060,ACC-001,Meridian Media Group,ACC-001-U010,Flow,login,2025-12-29T16:17:00,31.3
EVT-000061,ACC-001,Meridian Media Group,ACC-001-U004,Flow,feature_use,2025-12-29T18:47:00,37.1
EVT-000062,ACC-001,Meridian Media Group,ACC-001-U008,Flow,login,2025-12-29T15:55:00,11.1
EVT-000063,ACC-001,Meridian Media Group,ACC-001-U007,Flow,feature_use,2025-12-29T10:33:00,46.5
EVT-000064,ACC-001,Meridian Media Group,ACC-001-U039,Canvas,export,2025-12-30T12:12:00,5.9
EVT-000065,ACC-001,Meridian Media Group,ACC-001-U043,Flow,feature_use,2025-12-30T10:35:00,46.3
EVT-000066,ACC-001,Meridian Media Group,ACC-001-U031,Flow,feature_use,2025-12-30T09:40:00,42.8
EVT-000067,ACC-001,Meridian Media Group,ACC-001-U041,Canvas,feature_use,2025-12-30T12:14:00,3.8
EVT-000068,ACC-001,Meridian Media Group,ACC-001-U006,Flow,api_call,2025-12-30T09:59:00,1.3
EVT-000069,ACC-001,Meridian Media Group,ACC-001-U036,Flow,feature_use,2025-12-30T13:29:00,30.5
EVT-000070,ACC-001,Meridian Media Group,ACC-001-U023,Flow,login,2025-12-30T16:08:00,27.4
EVT-000071,ACC-001,Meridian Media Group,ACC-001-U028,Canvas,feature_use,2025-12-31T13:37:00,5.1
EVT-000072,ACC-001,Meridian Media Group,ACC-001-U043,Canvas,api_call,2025-12-31T13:29:00,0.9
EVT-000073,ACC-001,Meridian Media Group,ACC-001-U027,Canvas,feature_use,2025-12-31T09:30:00,40.3
EVT-000074,ACC-001,Meridian Media Group,ACC-001-U034,Flow,feature_use,2025-12-31T09:21:00,25.7
EVT-000075,ACC-001,Meridian Media Group,ACC-001-U028,Flow,feature_use,2025-12-31T13:34:00,53.6
EVT-000076,ACC-001,Meridian Media Group,ACC-001-U033,Canvas,login,2025-12-31T11:14:00,31.1
EVT-000077,ACC-001,Meridian Media Group,ACC-001-U005,Flow,login,2026-01-01T17:57:00,1.4
EVT-000078,ACC-001,Meridian Media Group,ACC-001-U017,Canvas,login,2026-01-01T20:19:00,42.6
EVT-000079,ACC-001,Meridian Media Group,ACC-001-U044,Flow,feature_use,2026-01-01T21:54:00,20.2
EVT-000080,ACC-001,Meridian Media Group,ACC-001-U034,Canvas,login,2026-01-01T14:44:00,26.2
EVT-000081,ACC-001,Meridian Media Group,ACC-001-U017,Canvas,invite_sent,2026-01-01T11:36:00,3.5
EVT-000082,ACC-001,Meridian Media Group,ACC-001-U021,Flow,export,2026-01-02T09:04:00,4.0
EVT-000083,ACC-001,Meridian Media Group,ACC-001-U017,Canvas,api_call,2026-01-02T20:54:00,1.5
EVT-000084,ACC-001,Meridian Media Group,ACC-001-U011,Canvas,export,2026-01-02T14:29:00,1.1
EVT-000085,ACC-001,Meridian Media Group,ACC-001-U011,Flow,feature_use,2026-01-02T19:06:00,49.9
