invoice_id,account_id,account_name,invoice_date,quarter,gross_amount,discount_pct,net_amount,payment_status,days_to_pay
INV-0001,ACC-001,Meridian Media Group,2025-07-01,Q3 2025,46500.0,30,32550.0,paid,15
INV-0002,ACC-001,Meridian Media Group,2025-10-01,Q4 2025,46500.0,30,32550.0,paid,18
INV-0003,ACC-001,Meridian Media Group,2026-01-01,Q1 2026,46500.0,30,32550.0,paid,35
INV-0004,ACC-001,Meridian Media Group,2026-03-15,Q2 2026,46500.0,30,32550.0,overdue,
INV-0005,ACC-002,Cascade Financial,2025-07-01,Q3 2025,78000.0,15,66300.0,paid,42
INV-0006,ACC-002,Cascade Financial,2025-10-01,Q4 2025,78000.0,15,66300.0,paid,38
INV-0007,ACC-002,Cascade Financial,2026-01-01,Q1 2026,78000.0,15,66300.0,paid,45
INV-0008,ACC-002,Cascade Financial,2026-03-15,Q2 2026,78000.0,15,66300.0,paid,51
INV-0009,ACC-003,Beacon Logistics,2025-07-01,Q3 2025,24250.0,10,21825.0,paid,20
INV-0010,ACC-003,Beacon Logistics,2025-10-01,Q4 2025,24250.0,10,21825.0,paid,22
INV-0011,ACC-003,Beacon Logistics,2026-01-01,Q1 2026,24250.0,10,21825.0,paid,18
INV-0012,ACC-003,Beacon Logistics,2026-03-15,Q2 2026,24250.0,10,21825.0,overdue,
INV-0013,ACC-004,Prism Retail,2025-07-01,Q3 2025,13500.0,0,13500.0,paid,25
INV-0014,ACC-004,Prism Retail,2025-10-01,Q4 2025,13500.0,0,13500.0,paid,30
INV-0015,ACC-004,Prism Retail,2026-01-01,Q1 2026,13500.0,0,13500.0,overdue,
INV-0016,ACC-004,Prism Retail,2026-03-15,Q2 2026,13500.0,0,13500.0,overdue,
INV-0017,ACC-005,Atlas Digital,2025-07-01,Q3 2025,57000.0,0,57000.0,paid,8
INV-0018,ACC-005,Atlas Digital,2025-10-01,Q4 2025,57000.0,0,57000.0,paid,7
INV-0019,ACC-005,Atlas Digital,2026-01-01,Q1 2026,57000.0,0,57000.0,paid,10
INV-0020,ACC-005,Atlas Digital,2026-03-15,Q2 2026,57000.0,0,57000.0,paid,9
INV-0021,ACC-006,Summit Healthcare,2025-07-01,Q3 2025,36250.0,5,34437.5,paid,12
INV-0022,ACC-006,Summit Healthcare,2025-10-01,Q4 2025,36250.0,5,34437.5,paid,10
INV-0023,ACC-006,Summit Healthcare,2026-01-01,Q1 2026,36250.0,5,34437.5,paid,14
INV-0024,ACC-006,Summit Healthcare,2026-03-15,Q2 2026,36250.0,5,34437.5,paid,11
INV-0025,ACC-007,Voyager Entertainment,2025-07-01,Q3 2025,120000.0,20,96000.0,paid,5
INV-0026,ACC-007,Voyager Entertainment,2025-10-01,Q4 2025,120000.0,20,96000.0,paid,7
INV-0027,ACC-007,Voyager Entertainment,2026-01-01,Q1 2026,120000.0,20,96000.0,paid,6
INV-0028,ACC-007,Voyager Entertainment,2026-03-15,Q2 2026,120000.0,20,96000.0,paid,8
INV-0029,ACC-008,Ironclad Manufacturing,2025-07-01,Q3 2025,27500.0,10,24750.0,paid,13
