opportunity_id,account_id,account_name,opp_type,opp_name,amount,stage,close_date,owner_id,owner_name,created_date,notes
OPP-001,ACC-001,Meridian Media Group,renewal,Meridian Media FY26 Renewal,186000,negotiation,2026-06-15,EMP-007,Lisa Patel,2026-01-20,Customer requested competitive pricing after champion Jennifer Park left. New AE Lisa Patel assigned Feb 5 after 3-week gap following Jake Torres departure. VP of Marketing David Leung evaluating SketchFlow. Usage down 40%.
OPP-002,ACC-002,Cascade Financial,renewal,Cascade Financial FY26 Renewal,312000,qualified,2026-05-01,EMP-008,Ryan Nakamura,2025-12-01,CFO Margaret Chen reviewing all SaaS spend. Canvas and Insight adoption critically low — only Flow is used. Risk of partial churn (downgrade to Flow-only). $312K at stake but likely $200K+ at risk.
OPP-003,ACC-003,Beacon Logistics,renewal,Beacon Logistics FY26 Renewal,97000,qualified,2026-07-20,EMP-010,Kevin McBride,2026-02-01,API reliability issues damaged trust. VP of Operations demanding SLA credits. Junior AE Kevin McBride (2 months tenure) handling — may need senior support. Legal team CC'd on last escalation.
OPP-004,ACC-004,Prism Retail,renewal,Prism Retail FY26 Renewal,54000,negotiation,2026-04-10,EMP-013,Maria Santos,2025-11-15,Silent churn risk. Usage declining steadily for 3 months. No support tickets filed. Last Gong call was short and disengaged. Admin who set up account has left. Renewal in 4 weeks — may not renew.
OPP-005,ACC-005,Atlas Digital,expansion,Atlas Digital — Flow Add-on,95000,proposal,2026-06-30,EMP-011,Priya Sharma,2026-02-15,Strong champion Raj Patel (Head of Creative) asked about Flow pricing in last QBR. Team growing 15% MoM. $95K proposal for Flow licenses + onboarding. Demo went well — VP of Marketing was in the room and asked good questions.
OPP-006,ACC-006,Summit Healthcare,expansion,Summit Healthcare — 20 Seat Expansion,72000,prospect,2026-08-01,EMP-008,Ryan Nakamura,2026-03-01,Org growing rapidly. Champion Dr. Amanda Foster evangelizing internally — brought in 3 new departments. 90% seat utilization at week 6. Regulatory affairs and clinical ops want access. Likely 20 additional seats.
OPP-007,ACC-007,Voyager Entertainment,expansion,Voyager Entertainment — New Division (50 seats),180000,qualified,2026-07-01,EMP-011,Priya Sharma,2026-02-01,"VP of Marketing Christina Wells discussed adding 50 seats for new streaming division launching April. Currently at 120 seats, 95%+ utilization. Self-sufficient account — zero support tickets. $180K expansion."
OPP-008,ACC-008,Ironclad Manufacturing,expansion,Ironclad Manufacturing — Insight Add-on,55000,prospect,2026-09-01,EMP-007,Lisa Patel,2026-03-05,Manufacturing team asked if Insight can connect to their Snowflake warehouse for template usage analytics. Canvas usage growing steadily. Clear cross-sell opportunity for Insight. Engineering team building SAP integration — high engagement.
OPP-009,ACC-009,Northstar Consulting,renewal,Northstar Consulting FY27 Renewal,165000,closed_won,2025-12-01,EMP-008,Ryan Nakamura,2025-09-01,"Smooth renewal. Multi-year deal signed. Stable usage, satisfied customer."
OPP-010,ACC-010,Ridgeline Media,renewal,Ridgeline Media FY26 Renewal,138000,negotiation,2026-07-15,EMP-011,Priya Sharma,2026-03-01,Standard renewal. Flow power user. No concerns.
OPP-011,ACC-011,Clearwater Tech,renewal,Clearwater Tech FY26 Renewal,275000,negotiation,2026-09-01,EMP-013,Maria Santos,2026-05-01,"Large account, all 3 products. Moderate but consistent usage. Expect smooth renewal."
OPP-012,ACC-012,Horizon Pharma,renewal,Horizon Pharma FY26 Renewal,198000,qualified,2026-06-30,EMP-007,Lisa Patel,2026-02-15,Seasonal usage patterns but overall healthy. Campaign season Jan-Feb drove high engagement.
OPP-013,ACC-013,Sterling Partners,renewal,Sterling Partners FY26 Renewal,62000,closed_won,2026-02-15,EMP-012,Tom Westfield,2025-11-01,Small but loyal. Renewed early. High NPS.
